ids,question,choice1,choice2,choice3,choice4,correctChoices,module,course,credential,topicID,educationLevel,difficultyUnnormalised,relevantInfoID
1,Complete the sentence. Artificial intelligence (AI) refers to the ability of a machine to ________________ and ________________.,"create algorithms, generalize information","identify emotions, transfer data","learn patterns, make predictions","secure data, create algorithms",3,What is Artificial Intelligence,Introduction to Artificial Intelligence,Getting Started with Artificial Intelligence,1,College,10,1
2,Which of the following Narrow AI systems would you want to include when building the Broad AI system for a self-driving car?,International news,Long-term weather patterns,Information from the global positioning system (GPS),Entertainment trends,3,What is Artificial Intelligence,Introduction to Artificial Intelligence,Getting Started with Artificial Intelligence,1,College,20,1
3,What one word best describes what AI can do?,Decide,Calculate,Think,Predict,4,What is Artificial Intelligence,Introduction to Artificial Intelligence,Getting Started with Artificial Intelligence,1,College,10,1
4,"Fill in the blank. __________ systems are used to predict global weather, trace pandemics, and help businesses predict future trends?",General AI,Targeted AI,Narrow AI,Broad AI,4,What is Artificial Intelligence,Introduction to Artificial Intelligence,Getting Started with Artificial Intelligence,1,College,20,1
5,"Complete the sentence. ________________ performs tasks without human intervention and completes mundane and repetitive tasks for humans, while ________________ allows humans to make final decisions after analyzing data, reports, and other types of data.","AI, Narrow AI","Augmented intelligence, AI","Augmented intelligence, Narrow AI","AI, augmented intelligence",4,What is Artificial Intelligence,Introduction to Artificial Intelligence,Getting Started with Artificial Intelligence,1,College,30,1
6,In which era did computers guide astronauts from Earth to the moon and advance to handle more than one kind of instruction?,The Era of Industrialization,The Era of Programming,The Era of AI,The Era of Tabulation,2,What are the three eras of Computing,Introduction to Artificial Intelligence,Getting Started with Artificial Intelligence,1,College,20,2
7,Which of the following is the correct order of the three eras of computing?,"Tabulation, Programming, AI","Programming, Tabulation, AI","Tabulation, AI, Programming","AI, Programming, Tabulation",1,What are the three eras of Computing,Introduction to Artificial Intelligence,Getting Started with Artificial Intelligence,1,College,30,2
8,What were the main causes of the First Winter of AI? Select two.,Lack of funding,High expectations,Intellectual property theft,Buggy program code and slow language execution,"1,2",What are the three eras of Computing,Introduction to Artificial Intelligence,Getting Started with Artificial Intelligence,1,College,40,2
9,"In which era did machines help humans sort data into structures to reveal its secrets, that is, to reveal more insight than just simply counting to get a sum total?",The Era of Programming,The Era of Tabulation,The Era of AI,The Era of Industrialization,2,What are the three eras of Computing,Introduction to Artificial Intelligence,Getting Started with Artificial Intelligence,1,College,20,2
10,"In which era did the advancements in fields ranging from cancer research to energy production show how its achievements impact people every day, and that it has exponentially increasing abilities?",The Era of Programming,The Era of AI,The Era of Industrialization,The Era of Tabulation,2,What are the three eras of Computing,Introduction to Artificial Intelligence,Getting Started with Artificial Intelligence,1,College,40,2
